link,listed_by,station,rent,beds
https://zoopla.co.uk/to-rent/details/73402036,Zoopla,Kensington Olympia,1975,2
https://zoopla.co.uk/to-rent/details/73315894,Zoopla,Kensington Olympia,2300,2
https://zoopla.co.uk/to-rent/details/73047098,Zoopla,Kensington Olympia,2550,2
https://zoopla.co.uk/to-rent/details/61607750,Zoopla,Baker Street,2925,2
https://onthemarket.com/details/19673728,OnTheMarket,Baker Street,3000,2
https://zoopla.co.uk/to-rent/details/73399746,Zoopla,Kensington Olympia,3000,2
https://onthemarket.com/details/19672648,OnTheMarket,Marble Arch,3000,2
https://onthemarket.com/details/19673947,Newington London Estates - Marylebone,Baker Street,3012,2
https://onthemarket.com/details/19674635,Newington London Estates - Marylebone,Baker Street,3142,2
https://zoopla.co.uk/to-rent/details/73398048,Zoopla,Regent Park,3142,2
https://zoopla.co.uk/to-rent/details/73401283,Zoopla,Kensington Olympia,3150,2
https://rightmove.co.uk/properties/89424873,"PMP International, London Estate Agent",Regent Park,3450,2
https://zoopla.co.uk/to-rent/details/73373131,Zoopla,Kensington Olympia,3455,2
https://onthemarket.com/details/19673766,Newington London Estates - Marylebone,Baker Street,3467,2
https://zoopla.co.uk/to-rent/details/73401603,Zoopla,Kensington Olympia,3467,2
https://zoopla.co.uk/to-rent/details/55280731,Zoopla,Regent Park,3467,3
https://rightmove.co.uk/properties/89439684,"Hanover, St John's Wood Estate Agent",Regent Park,3497,2
https://rightmove.co.uk/properties/155986835,"Howard de Walden Estates Limited, London Estate Agent",Bond Street,3662,2
https://zoopla.co.uk/to-rent/details/73403279,Zoopla,Bayswater,3683,2
https://rightmove.co.uk/properties/89443962,"Howard de Walden Estates Limited, London Estate Agent",Bond Street,3683,2
https://zoopla.co.uk/to-rent/details/73400474,Zoopla,Kensington Olympia,3683,2
https://zoopla.co.uk/to-rent/details/73400429,Zoopla,Gloucester Road,3684,2
https://zoopla.co.uk/to-rent/details/73397855,Zoopla,Gloucester Road,3900,2
https://zoopla.co.uk/to-rent/details/73397793,Zoopla,Gloucester Road,3900,3
https://onthemarket.com/details/19673771,Kinleigh Folkard & Hayward - Marylebone Lettings,Baker Street,4008,2
https://onthemarket.com/details/10382124,OnTheMarket,Bond Street,4008,2
