link,listed_by,station,rent,nightly_rate_needed,airdna_adr,margin,beds
https://onthemarket.com/details/19815460,OpenRent - UK,Kensington Olympia,1650,118,237,-119,2
https://openrent.co.uk/2535717,OpenRent,Angel,2350,168,235,-67,2
https://zoopla.co.uk/to-rent/details/73575394,Venice Properties,Marylebone,2600,186,299,-113,2
https://onthemarket.com/details/19818438,OpenRent - UK,Old Street,2950,211,235,-24,2
https://zoopla.co.uk/to-rent/details/73523877,Venice Properties,Marylebone,3200,229,299,-70,2
https://onthemarket.com/details/19815465,OpenRent - UK,Regent's Park,3500,250,354,-104,2
https://zoopla.co.uk/to-rent/details/73559655,Keatons - Shoreditch,Old Street,3500,250,363,-113,3
https://onthemarket.com/details/19815347,OpenRent - UK,Angel,3750,268,329,-61,3
https://zoopla.co.uk/to-rent/details/73546838,SN Estates London,King's Cross St Pancras,3950,282,346,-64,3
https://zoopla.co.uk/to-rent/details/73569759,SN Estates London,King's Cross St Pancras,4200,300,346,-46,3
https://zoopla.co.uk/to-rent/details/49752738,Hurford Salvi Carr - Clerkenwell & City Lettings,Chancery Lane,4250,304,319,-15,2
https://zoopla.co.uk/to-rent/details/73547192,Bentley & Co,King's Cross St Pancras,4550,325,436,-111,4
https://zoopla.co.uk/to-rent/details/73531368,Bentley & Co,King's Cross St Pancras,4767,340,436,-96,4
https://openrent.co.uk/1058838,OpenRent,Victoria,4885,349,356,-7,2
https://zoopla.co.uk/to-rent/details/73567316,MB Property Services,Goodge Street,5997,428,430,-2,4
